# Glosses for the words WordNet does not contain.
#
# WordNet is organised as four networks -- nouns, verbs, adjectives, adverbs
# -- and holds nothing else. Determiners, prepositions, conjunctions,
# pronouns, auxiliaries and modals are absent by design, not by oversight:
# they carry grammatical function rather than the kind of meaning a synonym
# network is built to relate.
#
# That leaves a gap exactly where it is most visible. These are the commonest
# words in English, so they are the ones a reader is most likely to select and
# find nothing for, and "no definition for 'the'" reads as the feature being
# broken rather than as a boundary of its data.
#
# Written by hand, and short on purpose: each says what the word does in a
# sentence, because that is what these words have instead of a meaning.
#
# Format matches the generated files: word|pos:definition
# Merged into definitions.txt by tools/mkdefs.

# --- articles and determiners ---
the|det:used before a noun to refer to something already known or being specified
a|det:used before a noun to refer to one of something, not yet specified
an|det:used before a noun beginning with a vowel sound, to refer to one of something
this|det:refers to the thing near at hand or just mentioned
that|det:refers to the thing further off or already mentioned
these|det:refers to the things near at hand or just mentioned
those|det:refers to the things further off or already mentioned
each|det:every one of two or more, taken separately
every|det:all of a group, taken one at a time
some|det:an unspecified amount or number of something
any|det:one or more, no matter which
no|det:not one, not a single
another|det:one more, or a different one
both|det:the two together
either|det:one or the other of two
neither|det:not one and not the other of two
much|det:a large amount of something uncountable
many|det:a large number of countable things
few|det:a small number of countable things
several|det:more than two but not many
enough|det:as much or as many as is needed
such|det:of the kind already mentioned

# --- pronouns ---
i|pron:the speaker or writer, as the subject of a verb
me|pron:the speaker or writer, as the object of a verb or preposition
my|pron:belonging to the speaker or writer
mine|pron:the one belonging to the speaker or writer
myself|pron:the speaker or writer, where subject and object are the same
you|pron:the person or people being addressed
your|pron:belonging to the person being addressed
yours|pron:the one belonging to the person being addressed
yourself|pron:the person addressed, where subject and object are the same
he|pron:a male person or animal already mentioned, as the subject of a verb
him|pron:a male person or animal, as the object of a verb or preposition
his|pron:belonging to a male person or animal already mentioned
himself|pron:a male, where subject and object are the same
she|pron:a female person or animal already mentioned, as the subject of a verb
her|pron:a female, as the object of a verb, or belonging to her
hers|pron:the one belonging to a female already mentioned
herself|pron:a female, where subject and object are the same
it|pron:a thing, animal or situation already mentioned
its|pron:belonging to a thing or animal already mentioned
itself|pron:a thing, where subject and object are the same
we|pron:the speaker together with others, as the subject of a verb
us|pron:the speaker together with others, as the object of a verb
our|pron:belonging to the speaker and others
ours|pron:the one belonging to the speaker and others
ourselves|pron:the speaker and others, where subject and object are the same
they|pron:people or things already mentioned, as the subject of a verb
them|pron:people or things already mentioned, as the object of a verb
their|pron:belonging to people or things already mentioned
theirs|pron:the one belonging to people or things already mentioned
themselves|pron:those already mentioned, where subject and object are the same
who|pron:which person, or the person that
whom|pron:which person, as the object of a verb or preposition
whose|pron:belonging to which person
what|pron:which thing, or the thing that
which|pron:what one of a known set
someone|pron:an unspecified person
somebody|pron:an unspecified person
something|pron:an unspecified thing
anyone|pron:any person at all
anybody|pron:any person at all
anything|pron:any thing at all
everyone|pron:every person
everybody|pron:every person
everything|pron:all things
nobody|pron:not a single person
nothing|pron:not a single thing
none|pron:not any of them

# --- prepositions ---
of|prep:shows belonging, origin, or what something is made or composed of
to|prep:shows direction towards, or introduces the basic form of a verb
in|prep:inside, or within a period or area
on|prep:touching and supported by a surface, or at a given time
at|prep:marks an exact place or time
by|prep:beside, or naming who or what did something
for|prep:intended to go to, or showing purpose or duration
with|prep:accompanied by, or using as a means
from|prep:marks a starting point in place, time or origin
about|prep:on the subject of, or approximately
into|prep:to a position inside
onto|prep:to a position on top of
over|prep:above, or across the top of
under|prep:below, or less than
between|prep:in the space or interval separating two things
among|prep:surrounded by, or in the company of several
through|prep:in one side and out the other, or by means of
during|prep:throughout the course of
before|prep:earlier than, or in front of
after|prep:later than, or behind
